x,y,temperature
0.88,0.08,20
0.9,0.08,20
0.92,0.08,20
0.94,0.08,20
0.96,0.08,20
0.98,0.08,20
1,0.08,20
0,0.1,20
0.02,0.1,20
0.04,0.1,20
0.06,0.1,20
0.08,0.1,20
0.1,0.1,20
0.12,0.1,20
0.14,0.1,20
0.16,0.1,20
0.18,0.1,20
0.2,0.1,20
0.22,0.1,20
0.24,0.1,20
0.26,0.1,20
0.28,0.1,20
0.3,0.1,20
0.32,0.1,20
0.34,0.1,20
0.36,0.1,20.0001
0.38,0.1,20.0001
0.4,0.1,20.0001
0.42,0.1,20.0001
0.44,0.1,20.0002
0.46,0.1,20.0002
0.48,0.1,20.0002
0.5,0.1,20.0002
0.52,0.1,20.0002
0.54,0.1,20.0002
0.56,0.1,20.0002
0.58,0.1,20.0001
0.6,0.1,20.0001
0.62,0.1,20.0001
0.64,0.1,20.0001
0.66,0.1,20
0.68,0.1,20
0.7,0.1,20
0.72,0.1,20
0.74,0.1,20
0.76,0.1,20
0.78,0.1,20
0.8,0.1,20
0.82,0.1,20
0.84,0.1,20
0.86,0.1,20
0.88,0.1,20
0.9,0.1,20
0.92,0.1,20
0.94,0.1,20
0.96,0.1,20
0.98,0.1,20
1,0.1,20
0,0.12,20
0.02,0.12,20
0.04,0.12,20
0.06,0.12,20
0.08,0.12,20
0.1,0.12,20
0.12,0.12,20
0.14,0.12,20
0.16,0.12,20
0.18,0.12,20
0.2,0.12,20
0.22,0.12,20
0.24,0.12,20
0.26,0.12,20
0.28,0.12,20
0.3,0.12,20
0.32,0.12,20.0001
0.34,0.12,20.0001
0.36,0.12,20.0001
0.38,0.12,20.0002
0.4,0.12,20.0002
0.42,0.12,20.0003
0.44,0.12,20.0003
0.46,0.12,20.0004
0.48,0.12,20.0004
0.5,0.12,20.0004
0.52,0.12,20.0004
0.54,0.12,20.0004
0.56,0.12,20.0003
0.58,0.12,20.0003
0.6,0.12,20.0002
0.62,0.12,20.0002
0.64,0.12,20.0001
0.66,0.12,20.0001
0.68,0.12,20.0001
0.7,0.12,20
0.72,0.12,20
0.74,0.12,20
0.76,0.12,20
0.78,0.12,20
0.8,0.12,20
0.82,0.12,20
0.84,0.12,20
0.86,0.12,20
0.88,0.12,20
0.9,0.12,20
0.92,0.12,20
0.94,0.12,20
0.96,0.12,20
0.98,0.12,20
1,0.12,20
0,0.14,20
0.02,0.14,20
0.04,0.14,20
0.06,0.14,20
0.08,0.14,20
0.1,0.14,20
0.12,0.14,20
0.14,0.14,20
0.16,0.14,20
0.18,0.14,20
0.2,0.14,20
0.22,0.14,20
0.24,0.14,20
0.26,0.14,20
0.28,0.14,20.0001
0.3,0.14,20.0001
0.32,0.14,20.0001
0.34,0.14,20.0002
0.36,0.14,20.0003
0.38,0.14,20.0004
0.4,0.14,20.0005
0.42,0.14,20.0006
0.44,0.14,20.0007
0.46,0.14,20.0008
0.48,0.14,20.0008
0.5,0.14,20.0008
0.52,0.14,20.0008
0.54,0.14,20.0008
0.56,0.14,20.0007
0.58,0.14,20.0006
0.6,0.14,20.0005
0.62,0.14,20.0004
0.64,0.14,20.0003
0.66,0.14,20.0002
0.68,0.14,20.0001
0.7,0.14,20.0001
0.72,0.14,20.0001
0.74,0.14,20
0.76,0.14,20
0.78,0.14,20
0.8,0.14,20
0.82,0.14,20
0.84,0.14,20
0.86,0.14,20
0.88,0.14,20
0.9,0.14,20
0.92,0.14,20
0.94,0.14,20
0.96,0.14,20
0.98,0.14,20
1,0.14,20
0,0.16,20
0.02,0.16,20
0.04,0.16,20
0.06,0.16,20
0.08,0.16,20
0.1,0.16,20
0.12,0.16,20
0.14,0.16,20
0.16,0.16,20
0.18,0.16,20
0.2,0.16,20
0.22,0.16,20
0.24,0.16,20
0.26,0.16,20.0001
0.28,0.16,20.0001
0.3,0.16,20.0002
0.32,0.16,20.0003
0.34,0.16,20.0004
0.36,0.16,20.0006
0.38,0.16,20.0008
0.4,0.16,20.001
0.42,0.16,20.0012
0.44,0.16,20.0014
0.46,0.16,20.0015
0.48,0.16,20.0016
0.5,0.16,20.0017
0.52,0.16,20.0016
0.54,0.16,20.0015
0.56,0.16,20.0014
0.58,0.16,20.0012
0.6,0.16,20.001
0.62,0.16,20.0008
0.64,0.16,20.0006
0.66,0.16,20.0004
0.68,0.16,20.0003
0.7,0.16,20.0002
0.72,0.16,20.0001
0.74,0.16,20.0001
0.76,0.16,20
0.78,0.16,20
0.8,0.16,20
0.82,0.16,20
0.84,0.16,20
0.86,0.16,20
0.88,0.16,20
0.9,0.16,20
0.92,0.16,20
0.94,0.16,20
0.96,0.16,20
0.98,0.16,20
1,0.16,20
0,0.18,20
0.02,0.18,20
0.04,0.18,20
0.06,0.18,20
0.08,0.18,20
0.1,0.18,20
0.12,0.18,20
0.14,0.18,20
0.16,0.18,20
0.18,0.18,20
0.2,0.18,20
0.22,0.18,20.0001
0.24,0.18,20.0001
0.26,0.18,20.0002
0.28,0.18,20.0003
0.3,0.18,20.0004
0.32,0.18,20.0006
0.34,0.18,20.0008
0.36,0.18,20.0011
0.38,0.18,20.0015
0.4,0.18,20.0019
0.42,0.18,20.0023
0.44,0.18,20.0026
0.46,0.18,20.0029
0.48,0.18,20.0031
0.5,0.18,20.0032
0.52,0.18,20.0031
0.54,0.18,20.0029
0.56,0.18,20.0026
0.58,0.18,20.0023
0.6,0.18,20.0019
0.62,0.18,20.0015
0.64,0.18,20.0011
0.66,0.18,20.0008
0.68,0.18,20.0006
0.7,0.18,20.0004
0.72,0.18,20.0003
0.74,0.18,20.0002
0.76,0.18,20.0001
0.78,0.18,20.0001
0.8,0.18,20
0.82,0.18,20
0.84,0.18,20
0.86,0.18,20
0.88,0.18,20
0.9,0.18,20
0.92,0.18,20
0.94,0.18,20
0.96,0.18,20
0.98,0.18,20
1,0.18,20
0,0.2,20
0.02,0.2,20
0.04,0.2,20
0.06,0.2,20
0.08,0.2,20
0.1,0.2,20
0.12,0.2,20
0.14,0.2,20
0.16,0.2,20
0.18,0.2,20
0.2,0.2,20.0001
0.22,0.2,20.0001
0.24,0.2,20.0002
0.26,0.2,20.0003
0.28,0.2,20.0005
0.3,0.2,20.0007
0.32,0.2,20.0011
0.34,0.2,20.0015
0.36,0.2,20.0021
0.38,0.2,20.0028
0.4,0.2,20.0035
0.42,0.2,20.0042
0.44,0.2,20.0048
0.46,0.2,20.0054
0.48,0.2,20.0057
0.5,0.2,20.0059
0.52,0.2,20.0057
0.54,0.2,20.0054
0.56,0.2,20.0048
0.58,0.2,20.0042
0.6,0.2,20.0035
0.62,0.2,20.0028
0.64,0.2,20.0021
0.66,0.2,20.0015
0.68,0.2,20.0011
0.7,0.2,20.0007
0.72,0.2,20.0005
0.74,0.2,20.0003
0.76,0.2,20.0002
0.78,0.2,20.0001
0.8,0.2,20.0001
0.82,0.2,20
0.84,0.2,20
0.86,0.2,20
0.88,0.2,20
0.9,0.2,20
0.92,0.2,20
0.94,0.2,20
0.96,0.2,20
0.98,0.2,20
1,0.2,20
0,0.22,20
0.02,0.22,20
0.04,0.22,20
0.06,0.22,20
0.08,0.22,20
0.1,0.22,20
0.12,0.22,20
0.14,0.22,20
0.16,0.22,20
0.18,0.22,20.0001
0.2,0.22,20.0001
0.22,0.22,20.0002
0.24,0.22,20.0003
0.26,0.22,20.0005
0.28,0.22,20.0008
0.3,0.22,20.0013
0.32,0.22,20.0019
0.34,0.22,20.0027
0.36,0.22,20.0037
0.38,0.22,20.0049
0.4,0.22,20.0062
0.42,0.22,20.0074
0.44,0.22,20.0086
0.46,0.22,20.0095
0.48,0.22,20.0102
0.5,0.22,20.0104
0.52,0.22,20.0102
0.54,0.22,20.0095
0.56,0.22,20.0086
0.58,0.22,20.0074
0.6,0.22,20.0062
0.62,0.22,20.0049
0.64,0.22,20.0037
0.66,0.22,20.0027
0.68,0.22,20.0019
0.7,0.22,20.0013
0.72,0.22,20.0008
0.74,0.22,20.0005
0.76,0.22,20.0003
0.78,0.22,20.0002
0.8,0.22,20.0001
0.82,0.22,20.0001
0.84,0.22,20
0.86,0.22,20
0.88,0.22,20
0.9,0.22,20
0.92,0.22,20
0.94,0.22,20
0.96,0.22,20
0.98,0.22,20
1,0.22,20
0,0.24,20
0.02,0.24,20
0.04,0.24,20
0.06,0.24,20
0.08,0.24,20
0.1,0.24,20
0.12,0.24,20
0.14,0.24,20
0.16,0.24,20
0.18,0.24,20.0001
0.2,0.24,20.0002
0.22,0.24,20.0003
0.24,0.24,20.0005
0.26,0.24,20.0009
0.28,0.24,20.0015
0.3,0.24,20.0022
0.32,0.24,20.0033
0.34,0.24,20.0047
0.36,0.24,20.0064
0.38,0.24,20.0084
0.4,0.24,20.0105
0.42,0.24,20.0127
0.44,0.24,20.0147
0.46,0.24,20.0163
0.48,0.24,20.0173
0.5,0.24,20.0177
0.52,0.24,20.0173
